Willow's Reef Aquatics,,,,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy - red,Perry's Baby Red (S),$16.54 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy - white,Chubby (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Starbright (M),$17.94 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Betsy Sakata (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Charlene Strawn (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Chromatella (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Joey Tomocik (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Mexicana (S-M),$14.48 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Texas Dawn (M),$17.94 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Sulphurea Okeechobee,$14.48 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy - blue/green,Moonbeam (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Alexis (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Islamorada (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,King of Siam (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Lindsey Woods (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Midnight,$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Panama Pacific (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Rhonda Kay,$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES -HARDY - PURPLE,Tina (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,Bull's Eye (M),$33.10 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,Tropic Punch,$33.10 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,Ruby (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,Valentine,$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,"Taro, Black Magic",$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,"Taro, Green",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,"Taro, Imperial",$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,"Taro, Violet Stemmed",$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,Umbrella Palm,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,Umbrella Palm Dwarf,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - RED,Zephyr Lily,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES NIGHT BLOOMING pink,Mrs. E. G. Hutchings (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - NIGHT BLOOMING pink,Mrs. G. C. Hitchcock (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - NIGHT BLOOMING pink,Rosa De La Noche (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,lilies -tropical - night blooming red,Red Cup (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,lilies -tropical - night blooming white,Juno (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,lilies -tropical - night blooming white,Trudy Slocum (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,lilies -tropical - night blooming white,Wood's White Knight (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Blue Beauty (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Blue Capensis (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Caerulea (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Colorata (S),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Dauben (S),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Leopardess (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Margaret Mary (M),$25.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Star of Zanzibar (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Iris Yellow,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Lizard's Tail,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Pickerel, Blue",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Plantain, Red",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Reed, Golden Chain Giant",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Reed, Variegated Giant",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Ribbon Grass,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Rush, Blue",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Rush, Common",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Rush, Corkscrew Blue",$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Rush, Flowering",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Rush, Horsetail Dwarf",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Rush, Variegated",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Rush, White",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Sagittaria, Crushed Ice",$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Sedge, Golden",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Spikerush,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Sweetflag, Golden",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,"Sweetflag, Variegated",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Thalia Dealbata,$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES DAY BLOOM Autumn Shades,Water Celery,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,swords,AMAZON - SM,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,swords,AMAZON - MD,$4.70 ,,,,,,,,,,,,,,,,,,,,,,
,swords,AMAZON - LG,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,swords,AMAZON - XL,$10.22 ,,,,,,,,,,,,,,,,,,,,,,
,swords,AMAZON COMP - SM,$3.92 ,,,,,,,,,,,,,,,,,,,,,,
,swords,AMAZON COMP.-MD,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,swords,AMAZON COMP-LG,$7.64 ,,,,,,,,,,,,,,,,,,,,,,
,swords,BRAZIL - SM,$3.84 ,,,,,,,,,,,,,,,,,,,,,,
,swords,BRAZIL - MD,$4.70 ,,,,,,,,,,,,,,,,,,,,,,
,swords,BRAZIL - LG,$7.64 ,,,,,,,,,,,,,,,,,,,,,,
,swords,CHAIN BROAD LEAF,$2.80 ,,,,,,,,,,,,,,,,,,,,,,
,swords,CHAIN NARROW LEAF,$2.46 ,,,,,,,,,,,,,,,,,,,,,,
,swords,INDIAN RED,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,swords,INDIAN RED - LG,$7.64 ,,,,,,,,,,,,,,,,,,,,,,
,swords,KLEINER BAR - SM,$3.92 ,,,,,,,,,,,,,,,,,,,,,,
,swords,KLEINER BAR - MD,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,swords,KLEINER BAR - LG,$7.64 ,,,,,,,,,,,,,,,,,,,,,,
,swords,KLEINER PRINZ - SM,$4.18 ,,,,,,,,,,,,,,,,,,,,,,
,swords,KLEINER PRINZ - MD,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,swords,MELON - SM,$4.18 ,,,,,,,,,,,,,,,,,,,,,,
,swords,MELON - MD,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,swords,MELON PINWHEEL-SM,$3.92 ,,,,,,,,,,,,,,,,,,,,,,
,swords,ORIENTAL - SM,$3.92 ,,,,,,,,,,,,,,,,,,,,,,
,swords,ORIENTAL - MD,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,swords,ORIENTAL - LG,$7.64 ,,,,,,,,,,,,,,,,,,,,,,
,swords,OZELOT - SM,$3.92 ,,,,,,,,,,,,,,,,,,,,,,
,swords,OZELOT - MD,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,swords,OZELOT - LG,$7.64 ,,,,,,,,,,,,,,,,,,,,,,
,swords,OZELOT GREEN - SM,$3.92 ,,,,,,,,,,,,,,,,,,,,,,
,swords,OZELOT GREEN - MD,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,swords,OZELOT GREEN - LG,$8.50 ,,,,,,,,,,,,,,,,,,,,,,
,swords,OZELOT GREEN - XL,$11.08 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RADICAN - SM,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RADICAN - MD,$4.70 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RADICAN - LG,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RADICAN - XL,$10.22 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RADICAN MARBLE-SM,$3.92 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RADICAN MARBLE-MD,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RADICAN MARBLE-LG,$7.64 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RANGERI - LG,$9.36 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RED FLAME - SM,$4.18 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RED FLAME - MD,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RED FLAME - LG,$9.36 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RED MELON - SM,$4.18 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RED MELON - MD,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RED RUBIN - MD,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RED RUBIN - LG,$9.36 ,,,,,,,,,,,,,,,,,,,,,,
,swords,ROSETTE - SM,$3.92 ,,,,,,,,,,,,,,,,,,,,,,
,swords,ROSETTE - MD,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,swords,ROSETTE - LG,$7.64 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RUFFLE - SM,$3.92 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RUFFLE - MD,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,swords,RUFFLE - LG,$7.64 ,,,,,,,,,,,,,,,,,,,,,,
,swords,ST. ELMO'S FIRE - MD,$9.36 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,BALANSAE -MD,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,BALANSAE - LG,$5.04 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,BECKETTII - MD,$3.04 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,PARVA - MD,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,PARVA - XL,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,PETCHII - MD,$3.04 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,PONTEDERIFOLIA-MD,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,SPIRALIS - MD,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,SPIRALIS - XL,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,UNDULATA - MD,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,UNDULATA - XL,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,WENDTII BRONZE-MD,$3.16 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,WENDTII BRONZE-XL,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,WENDTII BROWN -XL,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,WENDTII GREEN-MD,$3.04 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,WENDTII GREEN-XL,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,WENDTII RED - MD,$3.04 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPTS,WENDTII RED - XL,$6.78 ,,,,,,,,,,,,,,,,,,,,,,
,VALLISNERIA,CONTORTION,$2.46 ,,,,,,,,,,,,,,,,,,,,,,
,VALLISNERIA,CONTORTION BUNCH,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,VALLISNERIA,CORKSCREW,$2.28 ,,,,,,,,,,,,,,,,,,,,,,
,VALLISNERIA,ITALIAN,$2.28 ,,,,,,,,,,,,,,,,,,,,,,
,VALLISNERIA,ITALIAN BUNCH,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,VALLISNERIA,NANA,$2.46 ,,,,,,,,,,,,,,,,,,,,,,
,VALLISNERIA,NANA BUNCH,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,SAGITTARIA,CHILENSIS,$2.50 ,,,,,,,,,,,,,,,,,,,,,,
,SAGITTARIA,SUBULATA,$2.28 ,,,,,,,,,,,,,,,,,,,,,,
,SAGITTARIA,SUBULATA BUNCH,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,SAGITTARIA,SUBULATA DWARF,$2.28 ,,,,,,,,,,,,,,,,,,,,,,
,SAGITTARIA,SUBULATA DWF BUN.,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,APONOGETON,BOIVINIANUS-BULBS,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,APONOGETON,BOIVINIANUS-MD,$8.32 ,,,,,,,,,,,,,,,,,,,,,,
,APONOGETON,BOIVINIANUS-LG,$10.22 ,,,,,,,,,,,,,,,,,,,,,,
,APONOGETON,CAPURONI BULBS,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,APONOGETON,LONG. BULBS,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,APONOGETON,MAD. LACE-BULBS,$5.40 ,,,,,,,,,,,,,,,,,,,,,,
,APONOGETON,ULVACEUS - MD,$8.32 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,BABY TEARS DWF,$10.22 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,BABY TEARS DWF-LG,$42.98 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,FISSIDENS NOBILIS,$29.18 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,GLOSSOSTIGMA,$10.22 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,GLOSSOSTIGMA - LG,$42.98 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,HAIRGRASS DWF,$10.22 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,HAIRGRASS DWF - LG,$42.98 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,HYDROCOTYLE-SP-JAPAN,$10.22 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,JAVA FERN MAT (3x5),$27.46 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,JAVA FERN 1/2 MAT,$15.40 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,JAVA MOSS,$10.22 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,MICRO SWORD,$10.22 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,PENNYWORT DWF,$10.22 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON MAT,PENNYWORT DWF-LG,$42.98 ,,,,,,,,,,,,,,,,,,,,,,
,plants on rock,BABY TEARS DWARF,$5.04 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PLANT CUPS,TELANTHERA,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PLANT CUPS,BACOPA,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PLANT CUPS,ELEOCHARIS ACICULARIS,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PLANT CUPS,FONTINALIS,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PLANT CUPS,HERMIANTHUS CALL.,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PLANT CUPS,H. ARAGUAIA,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PLANT CUPS,M. MONTE CARLO,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PLANT CUPS,R. BONSAI,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PLANT CUPS,STAUROGYNE REPENS,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PLANT CUPS,TAXIPHYLLUM FLAME,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PLANT CUPS,UTRICULARIA,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PACKAGES,BACOPA,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PACKAGES,CR. UNDULATA,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PACKAGES,CR. WENDTII BRONZE,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PACKAGES,CR. WENDTII GREEN,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PACKAGES,CYPERUS HELFERI,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PACKAGES,HAIRGRASS DWARF,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PACKAGES,MONTE CARLO,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,TISSUE CULTURE PACKAGES,STAUROGYNE,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,PORTIONS - 4 oz CUP,BOLBITIS,$5.98 ,,,,,,,,,,,,,,,,,,,,,,
,PORTIONS - 4 oz CUP,JAVA MOSS,$5.12 ,,,,,,,,,,,,,,,,,,,,,,
,PORTIONS - 4 oz CUP,MONOSOLENIUM,$5.12 ,,,,,,,,,,,,,,,,,,,,,,
,PORTIONS - 4 oz CUP,POGOSTEMON HELFERI,$6.84 ,,,,,,,,,,,,,,,,,,,,,,
,PORTIONS - 4 oz CUP,STAUROGYNE REPENS,$6.84 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,"ACORUS, VARIEGATED",$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,BANANA PLANT,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,BLYXA AUBERTI,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,BYLXA JAPONICA,$3.04 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,CYPERUS HELFERI,$4.18 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,DUCKWEED - LB.,$10.22 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,JAVA FERN,$4.60 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,JAVA FERN LACE,$4.60 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,JAVA FERN TRIDENT,$5.92 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,MICRO SWORD,$3.40 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,MICRO SWORD - SF,$42.98 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,MONDO GRASS,$3.22 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,MOSS BALLS - SM,$5.22 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,MOSS BALLS - MD,$6.84 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,MOSS BALLS - LG,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,OCTOPUS PLANT -MD,$3.66 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,ONION PLANT - DWF,$2.70 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,WATER SPRITE,$3.22 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,Anchors,$24.83 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,Highland Rim Fert. Bag,$19.17 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,AQUARIUM POSTER,$18.84 ,,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS,AQUARIUM BOOK,$80.92 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
